acquired_view_count_after,acquired_view_count_before,acquisition_ms,coverage_after,coverage_before,history_anchor_ids,ndcg_at_5,normalized_regret,object_id,oracle_true_gain,peak_cuda_allocated_bytes,policy,policy_ms,process_rss_bytes,process_rss_delta_bytes,profiling_mode,reachable_normalized_coverage_after,reachable_normalized_coverage_before,seed,selected_anchor,selected_true_gain,spearman,step_index,valid_candidate_mask
2,1,0.31320100015364005,0.7614801181884377,0.3583522628834148,[0],0.9679531088507654,0.0,02828884/1c310698c57a3d378fd6b27be619556b,0.40312785530502293,3649128448,vggt_independent_history,2.1373210001911502,6244282368,0,cached_independent_features_plus_live_history_head,0.7634554532029537,0.3592818548129962,0,44,0.40312785530502293,0.7035152636447733,0,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]"
3,2,0.2905169999394275,0.9017925112419967,0.7614801181884377,"[0, 44]",0.9371294888281532,0.07965167685211903,02828884/1c310698c57a3d378fd6b27be619556b,0.1509273475451201,3649161216,vggt_independent_history,1.7328160001852666,6244282368,0,cached_independent_features_plus_live_history_head,0.9041318268468774,0.7634554532029537,0,25,0.14031239305355878,0.8921985815602835,1,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true]"
4,3,0.2860710001186817,0.9404572817836958,0.9017925112419967,"[0, 44, 25]",0.8130647596195827,0.07240144286188169,02828884/1c310698c57a3d378fd6b27be619556b,0.04074244779721478,3649193984,vggt_independent_history,1.7163990000881313,6244282368,0,cached_independent_features_plus_live_history_head,0.9428968966258842,0.9041318268468774,0,15,0.038664770541699124,0.5018445322793148,2,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true]"
5,4,0.3072199997404823,0.9634108399663481,0.9404572817836958,"[0, 44, 25, 15]",0.9650397075110116,0.06359697163618223,02828884/1c310698c57a3d378fd6b27be619556b,0.02429717912005244,3649226752,vggt_independent_history,1.6106789998957538,6244282368,0,cached_independent_features_plus_live_history_head,0.9659099980140686,0.9428968966258842,0,11,0.02295355818265237,0.6934460887949261,3,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true]"
6,5,0.32357599957322236,0.9726992879139568,0.9634108399663481,"[0, 44, 25, 15, 11]",0.8482474149071234,0.2494907780555292,02828884/1c310698c57a3d378fd6b27be619556b,0.011629778737324098,3649259520,vggt_independent_history,1.5934140001263586,6244282368,0,cached_independent_features_plus_live_history_head,0.9752225408737086,0.9659099980140686,0,30,0.009288447947608715,0.7666868015705225,4,"[false, true, true, true, true, true, true, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true]"
7,6,0.4115400001865055,0.9766123851818099,0.9726992879139568,"[0, 44, 25, 15, 11, 30]",0.5517015912841832,0.6838340691934006,02828884/1c310698c57a3d378fd6b27be619556b,0.008452874631419974,3649292288,vggt_independent_history,2.2917800001778232,6244282368,0,cached_independent_features_plus_live_history_head,0.9791457890015302,0.9752225408737086,0,26,0.003913097267853211,0.5021473138319423,5,"[false, true, true, true, true, true, true, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, false, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true]"
8,7,0.31298500016418984,0.980880216083388,0.9766123851818099,"[0, 44, 25, 15, 11, 30, 26]",0.6344946249613493,0.5003088314545395,02828884/1c310698c57a3d378fd6b27be619556b,0.00688940666645124,3649325056,vggt_independent_history,1.6209390000767598,6244282368,0,cached_independent_features_plus_live_history_head,0.983424690968018,0.9791457890015302,0,2,0.0042678309015781,0.4188153310104529,6,"[false, true, true, true, true, true, true, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, false, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true]"
9,8,0.3040350002265768,0.985052165076546,0.980880216083388,"[0, 44, 25, 15, 11, 30, 26, 2]",0.8576656940143,0.24705307382682745,02828884/1c310698c57a3d378fd6b27be619556b,0.005375385387980712,3649357824,vggt_independent_history,1.6014309999263787,6244282368,0,cached_independent_features_plus_live_history_head,0.9876074623014159,0.983424690968018,0,47,0.004171948993157927,0.7332082551594746,7,"[false, true, false, true, true, true, true, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, false, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true]"
10,9,0.3161580002597475,0.9865317208133921,0.985052165076546,"[0, 44, 25, 15, 11, 30, 26, 2, 47]",0.7490751302119744,0.6206964747174674,02828884/1c310698c57a3d378fd6b27be619556b,0.0033893544149157457,3649390592,vggt_independent_history,1.5874389996497484,6244282368,0,cached_independent_features_plus_live_history_head,0.9890908561138507,0.9876074623014159,0,22,0.0014795557368460191,0.21902834008097166,8,"[false, true, false, true, true, true, true, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, false, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, false]"
2,1,0.4191729999547533,0.7614801181884377,0.3583522628834148,[0],0.9779867416838572,0.0,02828884/1c310698c57a3d378fd6b27be619556b,0.40312785530502293,3744329216,vggt_joint_pose_deepsets,124.98413899993466,6244294656,0,live_joint_vggt_plus_history_head,0.7634554532029537,0.3592818548129962,0,44,0.40312785530502293,0.8340656799259945,0,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]"
3,2,0.40814700014379923,0.9108688298820435,0.7614801181884377,"[0, 44]",0.9793097045330532,0.011545497037724636,02828884/1c310698c57a3d378fd6b27be619556b,0.1509273475451201,3840167424,vggt_joint_pose_deepsets,134.80089999984557,6244294656,0,live_joint_vggt_plus_history_head,0.9132316901200465,0.7634554532029537,0,9,0.1493887116936058,0.9620104841196422,1,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true]"
